Model,Best Parameters,MSE,R2 Score
Linear Regression,{},45.33240871721412,0.9173218724359355
Random Forest,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",2.237983991789385,0.995918321324734
